Gene_ID	Gene_Name	TSS_ID	TSS_Locus	Strand	Max_Expr	RE_Locus	Max_Hist	Distance	Closest_Locus	Closest_TSS	Histone	Correlation	Correlation_P_Value	Distance_P_Value	CnD_P_Value	Q_Value
ENSG00000166979.8	C21orf63	ENST00000401402.3	chr21:33784993-33784993	+	18.42	chr21:33814787-33815326	6.75	29794	F	F	H3k27ac	0.96508	5.143e-04	6.009e-02	3.518e-04	2.681e-01
ENSG00000166979.8	C21orf63	ENST00000382699.3	chr21:33785010-33785010	+	19.55	chr21:33814787-33815326	6.75	29777	F	F	H3k27ac	0.96134	6.637e-04	6.006e-02	4.437e-04	2.681e-01
ENSG00000160209.12	PDXK	ENST00000291565.4	chr21:45138993-45138993	+	92.62	chr21:44860419-44861441	21.06	-277552	F	F	H3k27ac	0.94474	1.122e-03	5.556e-01	5.225e-03	5.320e-01
ENSG00000160209.12	PDXK	ENST00000398081.1	chr21:45138975-45138975	+	91.48	chr21:44860419-44861441	21.06	-277534	F	F	H3k27ac	0.94402	1.137e-03	5.555e-01	5.287e-03	5.320e-01
ENSG00000160209.12	PDXK	ENST00000468090.1	chr21:45138978-45138978	+	91.51	chr21:44860419-44861441	21.06	-277537	F	F	H3k27ac	0.94313	1.148e-03	5.555e-01	5.328e-03	5.320e-01
ENSG00000230479.1	AP000695.6	ENST00000429588.1	chr21:37802658-37802658	+	57.14	chr21:37802300-37802839	42.36	0	T	T	H3k4me3	0.86729	1.227e-03	2.123e-01	2.410e-03	3.628e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44832116-44832655	24.82	14353	F	T	H3k27ac	0.93844	1.259e-03	2.923e-02	4.125e-04	2.681e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44839299-44839838	33.68	7170	F	T	H3k27ac	0.93854	1.259e-03	1.487e-02	2.225e-04	2.681e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44835567-44836106	33.68	-10902	F	T	H3k4me3	0.85840	1.363e-03	1.000e+00	1.036e-02	6.676e-01
ENSG00000159200.12	RCAN1	ENST00000481448.1	chr21:35899148-35899148	-	527.54	chr21:36184660-36185199	3.16	-285512	F	F	H3k27ac	0.92706	1.581e-03	5.713e-01	7.233e-03	5.998e-01
